id,event_location,time,date,agenda_url,,archive_status,,committee,event_type
30,Room 317 City Hall,1:30:00 PM,10/14/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=10%2f14%2f14&view=monthly&eventid=30493,,Public,,Ways & Means Committee,Regular Meeting
31,Room 317 City Hall,9:30:00 AM,10/24/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=10%2f24%2f14&view=monthly&eventid=30808,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
32,Room 317 City Hall,1:30:00 PM,10/27/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=10%2f27%2f14&view=monthly&eventid=30494,,Public,,Ways & Means Committee,Regular Meeting
33,Room 317 City Hall,1:00 PM,10/28/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=10%2f28%2f14&view=monthly&eventid=30797,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
34,Room 317 City Hall,10:00 AM,10/30/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=10%2f30%2f14&view=monthly&eventid=30799,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
35,Room 317 City Hall,9:30 AM,11/7/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=11%2f7%2f14&view=monthly&eventid=30806,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
36,Room 317 City Hall,1:00 PM,11/7/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=11%2f7%2f14&view=monthly&eventid=30807,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
37,Room 317 City Hall,1:30 PM,11/10/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=11%2f10%2f14&view=monthly&eventid=30495,,Public,,Ways & Means Committee,Regular Meeting
38,Room 317 City Hall,1:30 PM,12/1/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=12%2f1%2f14&view=monthly&eventid=30496,,Public,,Ways & Means Committee,Regular Meeting
39,Room 317 City Hall,1:00 PM,12/2/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=12%2f2%2f14&view=monthly&eventid=30801,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
40,Room 317 City Hall,1:00 PM,12/4/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=12%2f4%2f14&view=monthly&eventid=30802,,Public,,"Ways & Means, Budget Subcommittee",Regular Meeting
41,Room 317 City Hall,1:30 PM,12/10/2014,http://apps.ci.minneapolis.mn.us/CalendarApp/EX_Detail.aspx?linkname=Ways+and+Means+Budget+Committee+Home&linkurl=http%3a%2f%2fwww.minneapolismn.gov%2fcouncil%2fcommittees%2fways-and-means&datebook=4&calendar=11&date=12%2f10%2f14&view=monthly&eventid=30497,,Public,,Ways & Means Committee,Regular Meeting
